drain_rate,entry_threshold,exit_threshold,video_bitrate,window_size,score,avg_streaming,avg_fp,working_packets_01,working_packets_02,working_packets_03,youtube_packets_03,youtube_packets_02,youtube_packets_01,insta_packets_01,insta_packets_02
0.4,10.0,0.0,560000,5,23.795892471897222,44.22526026316524,10.214683895634009,23.51702935600303,7.127022330898994,0.0,35.32586221475438,38.9975657250718,33.06535645349795,56.720723631080936,57.01679329142111
0.6,10.0,0.0,400000,5,23.488337780339766,45.24104568267959,10.876353951169913,23.8933137249757,8.73574812853404,0.0,36.164479083877296,38.9975657250718,33.06535645349795,58.25070773746226,59.72711941348866
0.8,10.0,0.0,560000,5,22.81673927894851,32.72221584887198,4.952738284961736,11.284294710371594,3.573920144513614,0.0,26.74862729214114,9.568254915738637,32.39631090638607,52.02805325924296,42.86983287085109
0.3,10.0,0.0,750000,5,22.717241961281434,40.979495745266334,9.13112689199245,22.505388256669267,4.88799241930808,0.0,28.508137047768113,36.73622048574953,33.06535645349795,52.02805325924296,54.55971148007309
0.5,10.0,0.0,400000,5,22.18813150022149,47.487543260851716,12.649705880315112,27.94435710961625,10.004760531329088,0.0,36.164479083877296,39.70360964255164,37.14644456672862,58.25070773746226,66.17247527363874
0.3,20.0,0.0,560000,5,21.147062171774582,40.4482912150282,9.650614521626808,26.97425457249702,1.9775889923834042,0.0,27.589790041695956,36.340997046902416,31.722904247226552,52.02805325924296,54.55971148007309
0.5,20.0,0.0,400000,5,20.851472372143743,41.40727893421721,10.277903281036734,25.945717423802122,4.88799241930808,0.0,28.508137047768113,37.08710016626776,32.39631090638607,52.02805325924296,57.01679329142111
0.8,20.0,0.0,560000,5,20.717752814397237,27.94861184259082,3.6154295140967925,9.19940133547502,1.6468872068153566,0.0,17.79740337209382,0.0,31.035768911521572,52.02805325924296,38.88183367009573
0.8,15.0,0.0,560000,5,20.634712024492867,28.086038909731815,3.725663442619475,9.19940133547502,1.9775889923834042,0.0,17.79740337209382,0.0,31.722904247226552,52.02805325924296,38.88183367009573
0.7,20.0,0.0,560000,5,20.582285165899357,28.741716012733338,4.0797154234169914,10.592259063435618,1.6468872068153566,0.0,17.79740337209382,0.0,31.035768911521572,52.02805325924296,42.84735452080832
0.7,5.0,0.0,750000,5,20.566553696988677,29.928585262512648,4.6810157827619845,10.150498814078569,3.892548534207384,0.0,24.017966892014673,2.166753495275672,33.06535645349795,52.02805325924296,38.364796212531985
0.7,10.0,0.0,750000,5,20.46227025475822,26.829991841880464,3.183860793561122,7.573993388299962,1.9775889923834042,0.0,16.022204691156166,0.0,31.722904247226552,52.02805325924296,34.376797011776624
0.6,15.0,0.0,750000,5,20.41100722862909,27.641866256822674,3.6154295140967925,9.19940133547502,1.6468872068153566,0.0,17.79740337209382,0.0,31.035768911521572,50.494325330402226,38.88183367009573
0.6,10.0,0.0,750000,5,19.95546450102521,28.259432943104322,4.151984221039554,10.478363670735257,1.9775889923834042,0.0,18.664373538956337,0.0,31.722904247226552,52.02805325924296,38.88183367009573
0.3,10.0,0.0,560000,5,19.660937077797705,47.132750364252296,13.735906643227295,30.868715619993537,10.339004309688352,0.0,36.164479083877296,38.9975657250718,37.14644456672862,58.25070773746226,65.1045547081215
0.5,5.0,0.0,400000,5,19.34673116849134,52.9383485718437,16.79580870167618,35.78728624160084,14.600139863427703,0.0,39.06455852481358,41.12180584998881,38.49910935721776,78.04136578996143,67.96490333723693
0.4,15.0,0.0,400000,5,18.809058611642183,47.132750364252296,14.161845876305057,31.8256707872366,10.65986684167857,0.0,36.164479083877296,38.9975657250718,37.14644456672862,58.25070773746226,65.1045547081215
